tick,surface_value,kinetic_energy,potential_energy,interior_energy
0,4,4,0,1.8
1,8,7,1,1.6618890414855687
2,13,12,1,1.5352370871279728
3,17,16,1,1.4191244711086959
4,21,21,0,1.3127050886954166
5,24,24,0,1.215200514384402
6,28,24,4,1.1258945903322404
7,35,30,5,1.0441284474746402
8,38,23,15,0.9692959247365331
9,50,31,19,0.9008393545038395
10,54,37,17,0.8382456850722144
11,60,26,34,0.7810429131295709
12,63,27,36,0.7287968014834246
13,65,29,36,0.6811078592261371
14,73,29,44,0.6376085633546591
15,86,25,61,0.5979608025391254
16,95,31,64,0.561853525278245
17,98,36,62,0.5290005760996053
18,107,29,78,0.4991387047696332
19,105,23,82,0.4720257346801121
20,111,22,89,0.44743887768418145
21,113,35,78,0.425173183672356
22,117,22,95,0.40504011411532714
23,121,24,97,0.386866229661699
24,126,19,107,0.37049198267131556
25,130,15,115,0.35577060629397694
26,132,17,115,0.3425670923741886
27,143,29,114,0.3307572510797919
28,144,23,121,0.3202268457201819
29,152,25,127,0.3108707967422705
30,153,26,127,0.3025924493730344
31,154,21,133,0.29530289981973606
32,157,15,142,0.2889203753457887
33,161,26,135,0.28336966391459567
34,168,17,151,0.27858158943811395
35,175,35,140,0.2744925289837761
36,182,30,152,0.2710439685849526
37,189,17,172,0.2681820945683745
38,187,19,168,0.2658574175587224
39,189,24,165,0.26402442654764907
40,191,23,168,0.2626412706234018
41,188,26,162,0.26166946614941544
42,191,22,169,0.2610736273570739
43,194,23,171,0.26082121848053585
44,191,16,175,0.26088232571120423
45,195,23,172,0.26122944738713594
46,196,25,171,0.26183730095939406
47,195,21,174,0.2626826453939227
48,196,32,164,0.263744117774774
49,201,24,177,0.26500208297319944
50,199,34,165,0.26643849533790614
51,201,19,182,0.2680367714453055
52,199,20,179,0.26978167302543693
53,202,32,170,0.27165919924995097
54,208,23,185,0.2736564876335949
55,212,25,187,0.2757617228604886
56,214,30,184,0.2779640529015521
57,222,33,189,0.2802535118401031
58,228,24,204,0.28262094886925904
59,237,31,206,0.28505796296766334
60,252,25,227,0.28755684279951044
61,261,30,231,0.29011051142114846
62,265,42,223,0.29271247540993556
63,269,36,233,0.295356778061756
64,272,38,234,0.29803795633187435
65,270,40,230,0.3007510012198159
66,273,49,224,0.30349132132289464
67,272,49,223,0.3062547093050278
68,283,39,244,0.30903731104773385
69,288,30,258,0.3118355972688484
70,294,32,262,0.3146463374116398
71,289,54,235,0.31746657562278524
72,288,48,240,0.3202936086521809
73,294,40,254,0.3231249655209142
74,292,55,237,0.3259583888160168
75,288,41,247,0.32879181748191677
76,296,45,251,0.3316233709889122
77,303,53,250,0.33445133476855626
78,309,49,260,0.3372741468146484
79,308,51,257,0.3400903853566249
80,302,33,269,0.3428987575195972
81,304,42,262,0.34569808889213965
82,317,52,265,0.34848731392923915
83,314,53,261,0.3512654671236217
84,316,53,263,0.3540316748840114
85,320,57,263,0.3567851480637905
86,317,58,259,0.3595251750880476
87,311,54,257,0.36225111563116275
88,307,55,252,0.3649623948009017
89,306,57,249,0.36765849778851206
90,323,68,255,0.3703389649475558
91,326,57,269,0.37300338726718807
92,330,57,273,0.375651402208337
93,330,53,277,0.3782826898737602
94,340,64,276,0.3808969694852754
95,349,68,281,0.3834939961435962
96,350,63,287,0.3860735578481694
97,357,68,289,0.38863547275621835
98,359,66,293,0.39117958666185815
99,360,76,284,0.3937057706776785
100,361,69,292,0.39621391910260034
101,360,60,300,0.3987039474611025
102,357,71,286,0.40117579070011056
103,361,76,285,0.403629401530935
104,358,75,283,0.4060647489046521
105,365,78,287,0.4084818166102524
106,370,59,311,0.41088060198573295
107,375,76,299,0.41326111473309557
108,385,88,297,0.4156233758289366
109,393,84,309,0.4179674165229787
110,387,86,301,0.42029327741750394
111,384,81,303,0.4226010076212155
112,394,96,298,0.42489066397156905
113,398,101,297,0.42716231032009155
114,400,74,326,0.429416016875647
115,403,88,315,0.4316518596010058
116,401,65,336,0.4338699196584532
117,399,75,324,0.43607028290050565
118,400,91,309,0.438253039402125
119,401,77,324,0.4404182830311034
120,423,95,328,0.4425661110535628
121,427,102,325,0.44469662377175384
122,427,99,328,0.4468099241915656
123,430,85,345,0.44890611771736455
124,440,103,337,0.4509853118719714
125,458,103,355,0.45304761603975957
126,456,106,350,0.45509314123102085
127,460,109,351,0.4571219998658913
128,469,119,350,0.4591343055762686
129,469,129,340,0.4611301730242742
130,465,106,359,0.4631097177359344
131,476,129,347,0.46507305594885495
132,486,121,365,0.46702030447276677
133,474,131,343,0.46895158056190606
134,488,115,373,0.470867001798279
135,484,130,354,0.47276668598493243
136,485,120,365,0.47465075104842774
137,493,115,378,0.4765193149497738
138,507,122,385,0.4783724956031402
139,518,134,384,0.4802104108017199
140,517,124,393,0.48203317815016644
141,526,138,388,0.483840915003075
142,519,140,379,0.4856337384090168
143,514,129,385,0.4874117650596785
144,523,132,391,0.4891751112436945
145,520,142,378,0.4909238928047895
146,528,121,407,0.49265822510388285
147,530,140,390,0.49437822298483286
148,522,131,391,0.4960840007435242
149,529,155,374,0.49777567210002716
150,538,135,403,0.4994533501735766
151,530,159,371,0.5011171474601428
152,532,157,375,0.5027671758123785
153,538,143,395,0.5044035464217503
154,540,148,392,0.506026369802675
155,553,150,403,0.5076357557784915
156,556,143,413,0.5092318134691237
157,568,154,414,0.5108146512802884
158,576,163,413,0.5123843768941226
159,599,179,420,0.5139410972611133
160,600,141,459,0.5154849185932174
161,615,182,433,0.5170159463580767
162,630,169,461,0.5185342852742314
163,622,185,437,0.5200400393072513
164,616,184,432,0.521533311666705
165,614,184,430,0.5230142048038955
166,602,154,448,0.524482820410299
167,594,163,431,0.5259392594166428
168,599,207,392,0.5273836219925697
169,607,182,425,0.5288160075468371
170,608,186,422,0.5302365147280018
171,615,191,424,0.5316452414255521
172,649,180,469,0.5330422847714413
173,618,204,414,0.5344277411419924
174,627,177,450,0.5358017061601342
175,636,189,447,0.5371642746979451
176,639,194,445,0.5385155408794688
177,648,182,466,0.5398555980837825
178,651,201,450,0.5411845389482883
179,649,190,459,0.5425024553722108
